season,id,value
1,ELAINE,158
1,GEORGE,261
1,HELEN,39
1,JERRY,564
1,JOEL,36
1,KRAMER,67
1,VANESSA,42
2,ALTON,31
2,DONNA,30
2,ELAINE,466
2,GEORGE,642
2,HELEN,39
2,JERRY,1059
2,KRAMER,284
2,LEVITAN,30
2,RAY,47
3,AUDREY,38
3,BABU,31
3,CYNTHIA,34
3,ELAINE,1116
3,GEORGE,1463
3,GINA,39
3,HELEN,87
3,JACK,44
3,JERRY,2005
3,KEITH,37
3,KRAMER,719
3,MIKE,41
3,MORTY,61
3,NEWMAN,62
3,NINA,33
3,STEVE,41
3,WOMAN,37
4,CHERYL,30
4,DANA,30
4,ELAINE,833
4,GEORGE,1445
4,HELEN,78
4,JERRY,2094
4,KRAMER,807
4,LEO,33
4,MARLA,49
4,MORTY,87
4,NEWMAN,93
4,RUSSELL,59
4,SUSAN,128
4,WOMAN,45
5,AARON,34
5,ELAINE,1088
5,ESTELLE,99
5,FRANK,111
5,GEORGE,1207
5,HELEN,82
5,JANE,61
5,JERRY,1821
5,JODI,35
5,KAREN,43
5,KRAMER,872
5,LIPPMAN,36
5,MERYL,39
5,MICKEY,44
5,MORTY,102
5,NEWMAN,69
5,RACHEL,45
5,TOBY,31
6,BANIA,80
6,DONNA,33
6,ELAINE,1099
6,ESTELLE,60
6,FRANK,97
6,GEORGE,1087
6,JERRY,1836
6,JIMMY,31
6,KRAMER,909
6,MR. PITT,43
6,NEWMAN,68
6,PITT,31
6,POPPIE,33
6,PUDDY,31
6,TIM,37
6,WENDY,34
7,BOB,32
7,CRAIG,38
7,DEENA,30
7,ELAINE,1138
7,ESTELLE,38
7,FRANK,81
7,GEORGE,1324
7,HELEN,64
7,JACKIE,53
7,JERRY,1858
7,KRAMER,1009
7,LLOYD,39
7,MAESTRO,39
7,MORTY,90
7,NEWMAN,130
7,PETERMAN,73
7,STEINBRENNER,53
7,SUSAN,246
7,WILHELM,59
8,BRETT,33
8,ELAINE,1069
8,FRANK,51
8,GEORGE,1086
8,HELEN,36
8,IZZY,32
8,JERRY,1836
8,KEVIN,44
8,KRAMER,1049
8,MORTY,61
8,NEWMAN,126
8,PETERMAN,71
8,STEINBRENNER,32
8,UNCLE LEO,36
8,WYCK,31
9,DARRYL,31
9,ELAINE,1071
9,ESTELLE,45
9,FRANK,81
9,GEORGE,1250
9,HELEN,35
9,HOYT,66
9,JERRY,1802
9,KRAMER,990
9,KRUGER,57
9,MAN,37
9,MORTY,44
9,NEWMAN,107
9,PETERMAN,38
9,PUDDY,131
9,RICK,32
